Month,Personal consumption expenditures,All goods,Durable goods,Nondurable goods,All services,Household services
1/1/06,10263275,3486013,1047591,2437806,6773056,6552450
2/1/06,10292365,3476299,1028076,2453157,6813058,6590107
3/1/06,10311037,3472466,1037911,2435880,6836141,6609673
4/1/06,10326625,3484741,1037832,2449393,6839013,6610959
5/1/06,10346296,3478873,1035586,2445899,6865305,6632932
6/1/06,10350128,3486374,1041457,2446433,6861233,6627418
7/1/06,10404799,3522163,1058747,2463040,6879007,6643596
8/1/06,10371090,3489237,1038219,2453604,6879572,6643788
9/1/06,10435505,3530490,1062510,2467145,6901571,6666570
10/1/06,10481598,3551278,1064358,2487329,6926604,6693688
11/1/06,10485582,3545706,1063294,2482553,6936370,6702583
12/1/06,10546264,3592599,1076387,2516568,6949286,6714737
1/1/07,10561372,3594242,1085459,2506544,6962876,6727105
2/1/07,10561785,3578242,1077868,2498886,6979763,6744489
3/1/07,10566627,3592203,1083802,2506411,6970275,6735533
4/1/07,10578004,3588265,1088949,2495671,6985842,6753894
5/1/07,10587622,3609133,1105168,2497807,6973991,6742561
6/1/07,10582892,3592488,1087090,2502475,6986433,6755100
7/1/07,10612125,3612081,1092893,2516285,6995746,6762304
8/1/07,10653610,3614104,1108758,2498927,7035543,6800844
9/1/07,10661714,3631582,1119701,2504348,7025769,6787492
10/1/07,10663150,3630296,1125768,2495860,7028530,6781882
11/1/07,10684270,3631427,1116819,2508154,7048692,6798446
12/1/07,10670963,3617468,1103606,2509402,7049674,6798310
1/1/08,10665843,3589553,1092029,2493880,7073389,6818881
2/1/08,10625554,3547224,1075061,2469487,7076441,6816842
3/1/08,10641889,3563675,1070932,2491818,7075901,6812562
4/1/08,10659274,3562135,1070991,2490266,7095015,6825646
5/1/08,10672153,3572697,1077953,2493403,7097048,6825204
6/1/08,10653640,3549564,1066016,2483025,7102290,6826361
7/1/08,10604594,3506884,1036980,2471438,7097146,6818505
8/1/08,10603040,3517506,1052811,2465010,7084148,6801555
9/1/08,10537935,3436079,1016730,2421311,7102810,6817424
10/1/08,10514862,3402375,973495,2435292,7113867,6818081
11/1/08,10487634,3380643,953974,2435530,7108049,6809855
12/1/08,10447632,3358584,950394,2416723,7089563,6794032
1/1/09,10500639,3408939,977854,2437136,7092538,6799166
2/1/09,10460277,3389761,961659,2436371,7070970,6782515
3/1/09,10418179,3345460,943400,2411337,7072565,6784818
4/1/09,10408519,3343433,937714,2415890,7064856,6782386
5/1/09,10421614,3370366,958312,2419850,7051186,6768668
6/1/09,10421868,3365133,965968,2405429,7056573,6774635
7/1/09,10458308,3396412,984698,2416628,7061617,6779480
8/1/09,10554518,3478068,1054766,2421692,7076059,6789670
9/1/09,10454781,3380156,961525,2425874,7074371,6787168
10/1/09,10465930,3393208,966178,2434187,7072423,6777366
11/1/09,10449080,3394802,978920,2421347,7053966,6755516
12/1/09,10505924,3411724,985110,2431882,7093921,6794450
1/1/10,10488088,3399423,971387,2434501,7088461,6789878
2/1/10,10519933,3412803,973941,2445454,7106992,6808175
3/1/10,10568275,3464231,1020712,2446244,7104069,6803650
4/1/10,10588904,3474285,1018824,2458775,7114753,6812262
5/1/10,10605620,3463091,1017428,2448743,7142567,6839844
6/1/10,10632919,3479178,1023271,2458869,7153892,6850850
7/1/10,10658593,3482366,1031151,2453389,7176282,6876680
8/1/10,10689834,3499235,1036519,2464878,7190723,6891753
9/1/10,10701601,3513301,1039949,2475636,7188519,6892211
10/1/10,10727984,3538712,1064319,2475104,7189624,6896056
11/1/10,10759766,3551356,1063004,2489566,7208723,6915122
12/1/10,10774247,3550700,1067292,2484298,7223772,6931015
1/1/11,10783713,3565322,1071430,2494828,7218565,6922077
2/1/11,10788226,3556261,1068941,2488288,7232081,6933243
3/1/11,10827284,3572261,1082200,2490639,7255044,6952570
4/1/11,10820010,3565197,1075578,2490493,7254797,6949993
5/1/11,10811913,3535598,1065045,2471543,7276632,6968890
6/1/11,10839038,3553619,1059175,2495889,7285566,6969321
7/1/11,10860570,3548869,1068661,2481224,7311968,6988925
8/1/11,10857729,3542936,1069436,2474418,7315105,6987726
9/1/11,10879808,3566406,1090098,2476854,7313516,6986859
10/1/11,10894357,3580634,1102719,2478263,7313727,6994866
11/1/11,10878388,3574653,1097455,2477603,7303749,6989411
12/1/11,10884932,3579984,1105367,2474874,7304933,6988160
1/1/12,10936702,3606253,1119420,2486950,7330366,7012005
2/1/12,11002445,3641116,1136084,2505045,7361138,7035310
3/1/12,10980762,3623926,1130839,2493079,7356751,7024728
4/1/12,10993883,3624317,1133126,2491162,7369530,7032064
5/1/12,10995648,3627838,1129835,2497978,7367770,7024821
6/1/12,10979223,3617219,1129762,2487394,7361951,7019011
7/1/12,11006172,3626212,1136261,2489843,7379906,7038581
8/1/12,10996450,3643586,1142218,2501246,7352937,7010539
9/1/12,11019929,3647447,1158307,2489131,7372544,7025343
10/1/12,11025844,3638515,1148590,2489778,7387396,7033588
11/1/12,11070029,3672533,1177173,2495499,7397616,7040219
12/1/12,11074684,3683908,1189036,2495113,7390995,7034137
1/1/13,11116086,3737597,1203152,2534691,7379222,7031596
2/1/13,11112070,3729115,1204977,2524486,7383609,7039931
3/1/13,11114402,3717232,1196788,2520719,7397629,7053948
4/1/13,11101162,3715084,1202708,2512758,7386529,7044551
5/1/13,11132850,3742094,1209107,2533341,7391626,7045385
6/1/13,11132544,3734804,1209382,2525803,7398399,7051233
7/1/13,11146395,3756017,1216160,2540225,7391555,7044705
8/1/13,11161669,3748348,1216954,2531825,7414124,7067194
9/1/13,11194204,3767890,1218733,2549466,7427407,7080924
10/1/13,11227993,3778815,1224106,2555058,7450252,7103016
11/1/13,11277651,3801069,1236907,2564620,7477864,7131863
12/1/13,11285301,3798627,1230021,2568792,7487719,7143458
1/1/14,11257610,3774234,1216099,2557974,7483747,7139657
2/1/14,11306156,3821802,1246099,2576084,7486052,7140429
3/1/14,11358022,3856719,1284193,2574045,7503823,7157121
4/1/14,11392577,3872482,1278660,2594851,7522835,7174817
5/1/14,11420649,3879601,1294861,2586474,7543684,7194110
6/1/14,11472883,3902598,1309130,2595565,7573204,7223255
7/1/14,11496423,3908757,1304361,2606096,7590492,7241208
8/1/14,11578743,3939834,1318694,2623068,7641908,7292329
9/1/14,11587511,3935429,1329505,2608534,7654617,7305416
10/1/14,11653983,3960252,1330538,2631937,7696369,7354526
11/1/14,11687638,3983676,1345206,2641065,7707399,7366581
12/1/14,11719777,3999430,1354088,2648119,7724175,7384935
1/1/15,11759011,4013298,1358056,2657998,7749634,7416953
2/1/15,11778799,4000908,1347746,2655747,7780005,7451235
3/1/15,11827284,4058725,1389047,2673020,7774619,7447369
4/1/15,11854547,4054308,1388854,2668864,7804978,7476051
5/1/15,11897234,4078903,1398360,2684025,7824054,7497005
6/1/15,11910831,4082614,1400710,2685435,7833874,7506325
7/1/15,11943425,4104672,1408242,2699962,7845507,7512595
8/1/15,11978571,4119998,1420656,2703221,7865678,7531767
9/1/15,11993858,4120789,1410782,2713447,7879698,7541422
10/1/15,12016325,4113142,1409607,2707020,7908094,7567740
11/1/15,12037400,4144830,1431445,2717324,7900235,7555894
12/1/15,12065224,4160582,1429468,2734781,7913069,7569166
1/1/16,12067625,4151609,1422348,2732780,7923301,7580158
2/1/16,12143982,4190500,1444864,2749442,7962448,7622094
3/1/16,12123720,4181835,1437501,2747989,7950620,7610098
4/1/16,12177971,4200298,1444208,2759746,7986398,7650412
5/1/16,12206654,4220015,1455105,2768725,7996677,7658765
6/1/16,12257668,4251443,1474273,2781383,8018158,7674940
7/1/16,12260126,4247410,1485612,2766626,8023999,7673775
8/1/16,12288970,4256851,1490483,2771277,8043354,7691315
9/1/16,12333814,4271101,1506829,2769821,8073796,7719499
10/1/16,12343757,4275416,1514190,2767141,8079529,7730310
11/1/16,12369830,4272420,1506477,2771425,8106848,7758443
12/1/16,12404604,4313902,1539802,2780975,8104414,7757688
1/1/17,12409551,4306888,1529205,2783968,8115065,7768673
2/1/17,12390937,4282435,1512753,2775365,8118269,7775306
3/1/17,12482453,4332602,1539629,2799423,8162361,7816472
4/1/17,12492327,4349887,1549243,2807390,8156999,7813365
5/1/17,12515924,4366658,1559349,2814402,8165139,7821464
6/1/17,12539330,4381575,1569049,2819975,8174697,7830999
7/1/17,12555598,4391701,1582015,2817876,8181545,7840823
8/1/17,12570746,4400160,1571611,2835645,8188743,7850317
9/1/17,12628373,4438768,1612113,2836260,8210741,7873848
10/1/17,12662324,4455490,1623853,2841811,8228793,7886909
11/1/17,12721195,4497967,1646429,2862500,8248800,7907531
12/1/17,12735587,4498106,1639553,2868799,8262281,7920262
1/1/18,12720981,4476343,1626824,2859208,8266706,7917797
2/1/18,12687753,4452963,1611760,2850110,8254906,7901167
3/1/18,12759783,4501701,1646145,2866433,8282161,7926499
4/1/18,12799160,4513654,1656260,2868966,8309336,7945306
5/1/18,12842760,4547013,1663532,2894580,8322649,7956260
6/1/18,12884146,4552159,1667062,2896413,8357376,7989006
7/1/18,12927474,4577191,1669440,2918313,8377422,8006443
8/1/18,12966453,4592015,1679748,2923431,8401842,8030169
9/1/18,12965945,4587239,1683098,2915909,8405311,8031367
10/1/18,13021413,4610729,1689907,2932412,8438153,8052431
11/1/18,13079203,4662596,1718000,2957429,8449838,8058298
12/1/18,12996281,4571188,1668735,2913196,8446772,8053949
1/1/19,13043744,4600450,1662348,2946903,8467389,8080107
2/1/19,13040935,4577028,1649156,2936038,8483776,8099104
3/1/19,13128312,4643325,1696185,2958151,8511691,8127954
