Year,Month,Paid Parking Activity,Total Revenue,Avg. Parking Paid,DOMESTIC Enplaments,INTERNATIONAL Enplanements,TOTAL Enplanments
2009,January,253523.00,6908203.00,27.25,805947.00,377019.00,1182966.00
2009,February,230457.00,6966141.00,30.23,785043.00,329982.00,1115025.00
2009,March,275596.00,7919548.00,28.74,956635.00,423754.00,1380389.00
2009,April,280537.00,8039476.00,28.66,997668.00,474677.00,1472345.00
2009,May,278249.00,7541216.00,27.10,960621.00,467579.00,1428200.00
2009,June,303727.00,8017383.00,26.40,998124.00,486415.00,1484539.00
2009,July,333293.00,8473027.00,25.42,1116452.00,537345.00,1653797.00
2009,August,334143.00,8609197.00,25.77,1083534.00,547759.00,1631293.00
2009,September,268028.00,7433997.00,27.74,847135.00,422118.00,1269253.00
2009,October,288050.00,8715992.00,30.26,962946.00,435288.00,1398234.00
2009,November,267890.00,7851651.00,29.31,891645.00,391918.00,1283563.00
2009,December,272501.00,6927074.00,25.42,931197.00,447582.00,1378779.00
2010,January,266230.00,7705854.00,28.94,799295.00,426235.00,1225530.00
2010,February,219389.00,7255534.00,33.07,724054.00,349237.00,1073291.00
2010,March,279544.00,8442904.00,30.20,989338.00,481362.00,1470700.00
2010,April,272524.00,8606724.00,31.58,938390.00,446263.00,1384653.00
2010,May,287578.00,8129858.00,28.27,921086.00,505934.00,1427020.00
2010,June,298704.00,7636384.00,25.57,972511.00,545710.00,1518221.00
2010,July,312576.00,7775849.00,24.88,1040497.00,578693.00,1619190.00
2010,August,309341.00,7856840.00,25.40,1024887.00,554834.00,1579721.00
2010,September,262391.00,7199080.00,27.44,813232.00,455936.00,1269168.00
2010,October,278158.00,8360543.00,30.06,924137.00,471455.00,1395592.00
2010,November,258992.00,7404619.00,28.59,883366.00,418838.00,1302204.00
2010,December,256637.00,6536462.00,25.47,836003.00,442220.00,1278223.00
2011,January,236138.00,6930600.00,29.35,729563.00,416060.00,1145623.00
2011,February,212946.00,7073600.00,33.22,703522.00,353567.00,1057089.00
