Year,Month,Paid Parking Activity,Total Revenue,Avg. Parking Paid,Cell Service,DOMESTIC Enplaments,INTERNATIONAL Enplanements,TOTAL Enplanments,JFK_Airtrain,month
2006,January,418379,6868353,16.42,67839,848899,644811,1493710,280637,1/1/06
2006,February,330850,5866605,17.73,68600,773149,575766,1348915,240341,2/1/06
2006,March,399602,6931710,17.35,69346,948653,718841,1667494,323468,3/1/06
2006,April,353817,5541068,15.66,70077,955169,776845,1732014,296420,4/1/06
2006,May,350852,5257712,14.99,70696,870453,824723,1695176,331857,5/1/06
2006,June,396130,5289094,13.35,71199,943149,933967,1877116,359580,6/1/06
2006,July,475317,6317231,13.29,71670,1105676,992307,2097983,340529,7/1/06
2006,August,469921,6347102,13.51,72203,1086334,952303,2038637,355375,8/1/06
2006,September,368070,4912423,13.35,72801,844020,868795,1712815,360162,9/1/06
2006,October,327698,4651836,14.2,73467,988603,779606,1768209,347772,10/1/06
2006,November,308473,5332131,17.29,74163,991399,743814,1735213,347199,11/1/06
2006,December,327034,4965028,15.18,74888,1036237,867727,1903964,376674,12/1/06
2007,January,213701,2699181,12.63,75485,955506,714831,1670337,327117,1/1/07
2007,February,110895,1553452,14.01,75965,833932,626947,1460879,280673,2/1/07
2007,March,26426,350225,13.25,76326,1083416,822638,1906054,354252,3/1/07
2007,April,244657,4753346,19.43,76563,1075930,823068,1898998,350781,4/1/07
2007,May,297770,4670893,15.69,76913,1092079,899200,1991279,403391,5/1/07
2007,June,319042,4720366,14.8,77380,1110430,1025256,2135686,387377,6/1/07
2007,July,429580,6848790,15.94,78050,1231490,1060929,2292419,373227,7/1/07
2007,August,429071,6814070,15.88,78673,1228913,1050456,2279369,413446,8/1/07
2007,September,343847,5473729,15.92,79248,959361,900203,1859564,388940,9/1/07
2007,October,293267,4866816,16.6,79774,1052152,872296,1924448,365700,10/1/07
2007,November,196220,1956586,9.97,80271,1032271,839540,1871811,366922,11/1/07
2007,December,339376,2933726,8.64,80737,1033487,945784,1979271,384630,12/1/07
2008,January,373240,6304470,16.89,80928,950531,776813,1727344,327596,1/1/08
2008,February,320972,5928215,18.47,81292,900436,721064,1621500,294397,2/1/08
2008,March,371143,6716972,18.1,81831,1089610,885758,1975368,355711,3/1/08
2008,April,362407,6654997,18.36,82550,1065183,866478,1931661,340912,4/1/08
2008,May,376664,6143883,16.31,83206,1082969,979518,2062487,438545,5/1/08
2008,June,418732,6429215,15.35,83798,1125329,1033720,2159049,433979,6/1/08
2008,July,471329,7251630,15.39,84413,1265201,1093484,2358685,432161,7/1/08
2008,August,479574,7378691,15.39,84822,1213087,1121947,2335034,460113,8/1/08
2008,September,366251,5680622,15.51,84817,926730,903413,1830143,432165,9/1/08
2008,October,344586,5704348,16.55,84580,1003129,890575,1893704,402785,10/1/08
2008,November,325119,5429794,16.7,84592,945824,827131,1772955,384131,11/1/08
2008,December,354897,5438020,15.32,84655,1020675,930749,1951424,430633,12/1/08
2009,January,341033,5902972,17.31,84857,883040,760109,1643149,338461,1/1/09
2009,February,286911,5254887,18.32,85028,833411,660631,1494042,297916,2/1/09
2009,March,334607,6054179,18.09,85134,997754,778057,1775811,364664,3/1/09
2009,April,350468,6155870,17.56,85193,1023165,852045,1875210,365844,4/1/09
2009,May,367953,5845116,15.89,85232,1040946,900453,1941399,381787,5/1/09
2009,June,413104,6640601,16.07,85247,1066992,993978,2060970,381062,6/1/09
2009,July,469146,7583684,16.16,85239,1204037,1104964,2309001,387315,7/1/09
2009,August,490570,7983009,16.27,85447,1180984,1096825,2277809,393198,8/1/09
2009,September,378999,6164600,16.27,85872,902535,920024,1822559,387275,9/1/09
2009,October,354595,6228720,17.57,86518,973578,913546,1887124,358637,10/1/09
2009,November,326612,5817430,17.81,87464,907580,821550,1729130,401151,11/1/09
2009,December,357471,5739714,16.06,88711,966276,937148,1903424,442625,12/1/09
2010,January,348113,6354753,18.25,90263,852302,780825,1633127,384417,1/1/10
2010,February,306665,5370830,17.51,91289,751583,674021,1425604,340487,2/1/10
2010,March,386290,6395468,16.56,91788,985765,855225,1840990,433210,3/1/10
2010,April,369036,6327128,17.15,91750,915337,818054,1733391,414799,4/1/10
2010,May,399489,6132430,15.35,92155,966020,1002951,1968971,463683,5/1/10
2010,June,443470,6359252,14.34,93010,993110,1111670,2104780,451550,6/1/10
2010,July,515772,7555156,14.65,94319,1135253,1192238,2327491,454810,7/1/10
2010,August,515839,7553488,14.64,95153,1107625,1155889,2263514,494684,8/1/10
2010,September,422929,6127058,14.49,95502,920603,981957,1902560,502164,9/1/10
2010,October,388520,6134671,15.79,95360,1015697,972046,1987743,446900,10/1/10
2010,November,366835,5663934,15.44,96103,952443,859307,1811750,438569,11/1/10
2010,December,383582,5636989,14.7,97740,951972,940479,1892451,462636,12/1/10
2011,January,381434,6184432,16.21,100276,860442,801222,1661664,379438,1/1/11
